"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.482009380E-1,7.895934582E-2,5.000114441E-3,3.681931496E-1,3.765976299E-1
3.532305210E-1,9.897965193E-2,2.331733704E-3,4.921383858E-1,5.019986048E-1
3.582391150E-1,1.126737595E-1,-5.092620850E-3,5.346322060E-1,5.463999511E-1
3.632672920E-1,6.834727526E-2,-2.669620514E-2,4.923877716E-1,4.978250245E-1
3.682954690E-1,2.836167812E-2,-5.295848846E-2,3.055958748E-1,3.114447382E-1
3.733236460E-1,-1.653528214E-2,-1.309604645E-1,1.601958275E-1,2.075735098E-1
3.783666670E-1,-6.579703093E-2,-1.797084808E-1,-2.015924454E-2,1.924338393E-1
3.833955740E-1,-8.633029461E-2,-1.806998253E-1,-1.644639969E-1,2.591404115E-1
3.884388030E-1,-1.397647262E-1,-1.908793449E-1,-2.267274857E-1,3.276804171E-1
3.934691670E-1,-2.165817916E-1,-1.862883568E-1,-3.217287064E-1,4.302561851E-1
3.984972920E-1,-3.449711204E-1,-9.138584137E-2,-3.125252724E-1,4.743716810E-1
4.035274490E-1,-3.780659437E-1,-2.051734924E-2,-3.141283989E-1,4.919669404E-1
4.085574490E-1,-3.595609963E-1,2.202701569E-2,-3.972935677E-1,5.362942088E-1
4.135875530E-1,-3.227599859E-1,2.251434326E-2,-3.957190514E-1,5.111501460E-1
4.186176570E-1,-2.013920546E-1,5.135536194E-3,-3.011236191E-1,3.622990027E-1
4.236530210E-1,-1.046898365E-1,-3.467178345E-2,-1.807675362E-1,2.117522056E-1
4.286834900E-1,-1.693875194E-1,-3.061866760E-2,3.616285324E-2,1.758902683E-1
4.337139590E-1,-2.895932496E-1,4.509830475E-2,5.658564568E-1,6.372531969E-1
4.387444280E-1,-2.627505362E-1,2.008333206E-1,8.329844475E-1,8.962337623E-1
4.437832820E-1,-3.089082837E-1,1.945366859E-1,6.614332199E-1,7.554884210E-1
4.488141670E-1,-2.419784367E-1,1.223516464E-1,4.118609428E-1,4.931053898E-1
